longitude	latitude
102.65	29.47
102.5	29.54
102.51	29.61
102.57	29.55
102.49	29.53
102.9	29.35
102.71	29.32
102.71	29.35
102.46	29.45
102.73	29.32
102.39	29.68
102.46	29.64
102.46	29.6
102.45	29.4
102.53	29.53
102.61	29.6
102.46	29.65
102.47	29.64
102.5	29.61
102.65	29.38
102.62	29.5
102.55	29.55
102.64	29.54
102.41	29.67
102.63	29.55
102.63	29.57
102.59	29.23
102.73	29.4
102.55	29.47
102.54	29.61
102.59	29.57
102.5	29.58
102.54	29.32
102.44	29.25
102.45	29.3
102.45	29.24
102.28	29.28
102.47	29.29
102.76	30.07
102.82	30.04
102.93	29.93
102.82	30.14
102.86	30.02
102.83	29.94
102.73	30
102.62	30.03
102.74	30.08
102.72	30.09
102.8	29.92
102.85	30.03
102.83	31.11
102.83	30
102.85	29.96
102.89	30.11
102.82	30.09
102.72	30.02
102.74	30.02
102.68	30.03
102.86	30
102.66	30.02
102.89	30.06
102.83	30.02
102.74	30.11
102.77	30.06
102.71	30
102.77	29.97
102.78	30.01
102.68	30.04
102.7	29.97
102.89	30.15
102.92	30.17
103.02	30.26
102.94	30.12
102.92	30.15
102.93	30.16
102.9	30.18
102.89	30.04
102.92	30.16
102.91	30.13
102.93	30.19
102.93	30.2
103	30.33
103.04	30.31
103.03	30.26
103.01	30.24
102.99	30.22
102.98	30.21
102.95	30.19
102.96	30.19
102.95	30.17
102.95	30.13
102.93	30.12
102.89	30.05
102.93	30.14
102.97	30.19
102.9	30.08
103.04	30.01
103.05	30.26
102.94	30.3
102.98	30.18
103	30.36
103	30.32
103.12	30.5
102.9	30.06
103.15	30.49
102.89	30.14
102.91	30.18
102.93	30.15
102.91	30.12
103	30.34
102.91	30.09
103.08	30.37
103.3	30.33
103	30.25
102.93	30.26
102.99	30.21
102.94	30.11
103.01	30.38
102.76	30.39
102.71	30.69
102.89	30.47
102.77	30.41
102.76	30.73
102.79	30.34
102.79	30.41
102.72	30.39
102.71	30.48
102.81	30.49
102.82	30.85
102.68	30.46
102.81	30.48
102.81	30.27
102.71	30.72
102.71	30.49
102.76	30.66
102.83	30.4
102.84	30.23
102.88	30.49
102.82	30.28
102.82	30.38
102.75	30.7
102.67	30.44
102.81	30.47
102.83	30.45
102.94	30.55
102.01	32.03
102.03	32
102.53	31.85
102.49	31.86
102.29	31.87
102.29	31.88
102.26	31.89
102.16	32.17
102.15	32.17
102.04	32.25
101.71	32.15
102.01	32.02
102.03	31.97
102.04	31.99
102.04	31.66
102.02	31.72
101.71	31.86
101.92	31.84
101.97	31.85
102.03	31.89
102.18	31.85
102.15	31.87
102.11	31.92
102.11	31.91
102.15	31.94
101.8	32.19
102.24	32.11
101.83	32.21
102.11	32.16
102.27	31.87
102.49	31.87
102.51	31.89
101.97	32.25
101.84	31.84
101.67	31.88
103.59	31.48
103.55	31.51
103.6	31.5
103.49	31.34
103.76	31.57
103.53	31.4
103.55	31.57
103.49	31.37
103.48	31.33
103.55	31.46
103.62	31.49
103.54	31.55
103.59	31.61
103.57	31.51
103.57	31.53
103.54	31.59
103.47	31.29
103.51	31.39
103.55	31.44
103.55	31.59
103.55	31.45
103.5	31.46
103.63	31.49
103.5	31.36
103.41	31.22
103.42	30.93
103.48	31.05
103.49	31.08
103.43	30.95
103.45	30.99
103.45	30.95
103.5	31.37
103.39	30.89
103.55	31.53
103.59	31.52
103.42	31.24
103.65	31.49
103.32	31.09
103.57	31.46
103.48	31.02
103.49	31.25
103.4	30.93
103.35	30.92
103.59	31.46
103.56	31.51
103.63	31.47
103.49	31.05
103.24	31.55
102.89	31.39
103.06	31.4
103.1	31.4
102.98	31.5
102.82	31.65
103.12	31.7
103.14	31.67
102.77	31.61
103.18	31.44
103.45	31.54
103.36	31.58
103.42	31.56
103.48	31.56
103.32	31.56
103.41	31.55
103.43	31.58
102.44	31.14
103.34	31.56
103.24	31.6
103.35	31.56
103.49	31.57
103.46	31.56
103.14	31.69
103.34	31.53
103.17	31.44
103.21	31.61
103.77	31.61
103.82	31.76
103.85	31.66
103.84	31.68
103.81	31.65
103.95	31.73
103.85	31.64
103.84	31.65
103.24	31.84
103.76	31.58
103.84	31.67
103.27	31.86
103.49	32.19
103.78	31.78
103.75	31.58
103.72	32.05
103.68	31.93
